,frame_number,x_angle,y_angle,z_angle,product 0,product 1,product 2,product 3,product 4,product 5,product 6
0,682,-9.101837,-4.5556339999999995,-0.912392,48735.194293797445,52366.008020184105,70824.70206238015,69522.09129068867,86457.72392834013,98301.91871158144,97261.72218715468
1,683,-13.12645,-1.246826,-1.620468,53309.50184182025,59445.83407577022,79318.48351607341,76381.83832868877,95110.53031940004,105297.26355271699,105517.67736528849
2,684,-15.179825,2.93811,1.712021,60206.690608714925,67027.72448683619,86857.4761821532,84730.19432684746,103866.21283383737,113999.62756979818,114497.29163202576
3,685,-17.545975,4.570633,-1.424942,63865.200455058315,71795.0672520694,92260.73217708865,89131.79351841913,109126.31233057285,118299.79972883024,119482.66354468667
4,686,-15.356704999999998,-1.9596630000000002,3.927353,52883.766899123104,60596.84278842452,81676.54436091043,76289.65951498253,96261.95201041148,104791.91581580791,106001.98240660378
5,693,-27.130928000000004,5.373611,10.093445,72470.83112040462,84848.56831182756,108444.84803980107,98714.82857952002,122383.5188868029,126268.7759452669,130754.86506512422
6,694,-6.412575,3.1365279999999998,4.502365,60277.52796039942,61282.896769109386,76103.37803505463,82305.35959943094,96628.63687238238,112311.77490254986,109321.01571906361
7,695,1.557159,-2.0523830000000003,11.110855,56488.724583775474,51639.40332597267,61264.67898793474,73368.71403862089,82751.85053410946,102566.79155799218,96597.8553045187
8,696,10.212143,-2.16835,16.243759,65113.760142244966,54298.60575323324,54636.50632942127,77205.66862388617,79590.77610685283,105192.94682316705,95337.47513993144
9,697,-2.579201,0.544678,10.786102,57602.4518389618,55919.6302130916,68569.93934487681,77380.7866197862,89526.82504911497,107112.73710600972,102753.64181695977
10,698,14.620560000000001,0.0050810000000000004,20.852158,74335.34540378676,61414.837097766096,56621.97205845399,84990.16871399105,83808.91890481452,112374.5602104639,100557.48574580227
11,699,-1.209984,-1.8080599999999998,16.925468,54963.08405446252,52241.1640352037,64316.50358050638,73326.71924578017,84730.3593308731,102709.9406580941,97948.97002767194
12,700,-4.282379,-4.439415,7.121262,50038.62630216807,49808.797344466526,64988.47981276023,68874.0635433077,82688.64832027149,97893.11379401741,94731.03450141032
13,701,-11.774887,-3.9392169999999997,6.1226199999999995,49520.762057653345,55083.53317601491,74891.68694775259,71408.19052687427,89803.01081823316,100037.60678439151,100052.27825834355
14,702,-12.636032,-6.393944,6.043044999999999,46706.31971320715,53227.018129899494,73984.85764980025,67968.1569955104,87194.82622204933,96036.62436679692,96749.03989502165
15,703,-12.738297,-8.520294,2.81691,44483.52077052373,51366.47198672401,72564.03152903388,64888.869257195634,84480.45112249,92495.4245247922,93562.0310827232
16,704,-8.995758,-9.393799000000001,3.9778290000000003,43507.85842633647,47551.074307488016,66933.98440316184,62203.778771098616,79726.72797663072,90046.76004044055,89591.43912343051
17,705,-1.030151,-3.661575,9.250557,52634.361825630884,49757.82856132603,62102.36090714491,70205.6688682855,81633.57450149722,99305.32991780192,94616.5842437772
18,706,2.815277,-7.941833,7.480086999999999,50602.378619521565,44501.81666226775,54028.09398636678,64069.08811533723,72744.9858530914,92131.58328060579,85996.05357553055
19,707,-1.420242,-4.077507,8.523589999999999,51884.39871201503,49319.98083868807,62097.509823248176,69484.09338487957,81233.09702524655,98531.45580791462,94053.70362565368
20,708,-4.238808000000001,-9.356033,8.347961,44752.68678439478,44708.47106577581,60907.67952371509,61323.693618951474,75641.56033052308,89421.93228212954,86775.4692419933
21,709,-4.668602,-6.993057,5.9732970000000005,46949.57817419777,47158.753895858965,63202.36608795595,64888.51713540609,79252.07297600833,93454.24976364036,90737.17243194488
22,710,-7.273903,-3.7343830000000002,10.452255000000001,50021.019204800315,52148.14231308766,69272.7764545136,70403.02155230081,86103.37016729313,99440.0508716494,97514.72778784153
